goos: linux
goarch: amd64
pkg: github.com/puzpuzpuz/go-concurrent-map-bench
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkSyncMap_WarmUp_StringKeys/size=100/reads=100%         	165034676	        23.50 ns/op	  42546000 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100000/reads=100%                   	121314030	        29.73 ns/op	  33638905 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100000/reads=99%                    	100000000	        42.34 ns/op	  23620339 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100000/reads=90%                    	93764491	        46.49 ns/op	  21508773 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100000/reads=75%                    	74477917	        53.04 ns/op	  18852874 ops/s	       3 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=1000000/reads=100%                  	20268847	       174.1 ns/op	   5742922 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=1000000/reads=99%                   	20513732	       179.1 ns/op	   5584429 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=1000000/reads=90%                   	19755614	       210.8 ns/op	   4743611 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=1000000/reads=75%                   	16297407	       225.9 ns/op	   4427170 ops/s	       3 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=100/reads=99%                     	148889902	        24.02 ns/op	  41636662 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=100/reads=90%                     	133775432	        26.64 ns/op	  37544130 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=100/reads=75%                     	100000000	        30.87 ns/op	  32391652 ops/s	       3 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=1000/reads=99%                    	135870510	        26.57 ns/op	  37639236 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=1000/reads=90%                    	122663235	        29.13 ns/op	  34334604 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=1000/reads=75%                    	100000000	        33.21 ns/op	  30113159 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=100000/reads=99%                  	100000000	        43.11 ns/op	  23196912 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=100000/reads=90%                  	81888688	        46.88 ns/op	  21330000 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=100000/reads=75%                  	69695959	        53.21 ns/op	  18793675 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=1000000/reads=99%                 	82931216	        69.08 ns/op	  14475649 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=1000000/reads=90%                 	69559868	       167.9 ns/op	   5956177 ops/s	       2 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_IntKeys/size=1000000/reads=75%                 	54449442	       200.1 ns/op	   4998001 ops/s	       4 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=100/reads=100%              	58126934	        61.16 ns/op	  16350544 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=100/reads=99%               	59310094	        60.42 ns/op	  16550745 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=100/reads=90%               	58880852	        61.08 ns/op	  16371426 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=100/reads=75%               	57771032	        62.30 ns/op	  16052512 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=1000/reads=100%             	64862844	        55.58 ns/op	  17990669 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=1000/reads=99%              	57073006	        64.16 ns/op	  15586100 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=1000/reads=90%              	55128681	        65.26 ns/op	  15323499 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=1000/reads=75%              	53555158	        66.47 ns/op	  15044693 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=100000/reads=100%           	45704479	        79.07 ns/op	  12647354 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=100000/reads=99%            	46545105	        91.37 ns/op	  10943980 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=100000/reads=90%            	41113208	        96.13 ns/op	  10402923 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=100000/reads=75%            	37563594	       100.7 ns/op	   9928661 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=1000000/reads=100%          	14306800	       248.8 ns/op	   4019944 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=1000000/reads=99%           	14747674	       247.7 ns/op	   4036477 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=1000000/reads=90%           	14426082	       249.2 ns/op	   4012430 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_StringKeys/size=1000000/reads=75%           	13650399	       258.8 ns/op	   3863697 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=100/reads=99%             	58837566	        60.75 ns/op	  16459991 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=100/reads=90%             	55637630	        60.96 ns/op	  16405079 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=100/reads=75%             	57804819	        62.36 ns/op	  16035663 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=1000/reads=99%            	55399508	        66.87 ns/op	  14954740 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=1000/reads=90%            	53197297	        67.77 ns/op	  14755844 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=1000/reads=75%            	51726480	        69.04 ns/op	  14483856 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=100000/reads=99%          	44514418	        88.69 ns/op	  11275331 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=100000/reads=90%          	40232314	        88.92 ns/op	  11246102 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=100000/reads=75%          	37295863	        91.29 ns/op	  10953868 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=1000000/reads=99%         	17530812	       212.5 ns/op	   4705620 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=1000000/reads=90%         	18814598	       235.5 ns/op	   4245637 ops/s	       1 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_StringKeys/size=1000000/reads=75%         	15671062	       251.2 ns/op	   3981270 ops/s	       3 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=100/reads=100%                 	175838271	        20.44 ns/op	  48926469 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=100/reads=99%                  	157376646	        22.80 ns/op	  43863013 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=100/reads=90%                  	152213847	        23.67 ns/op	  42240763 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=100/reads=75%                  	144040942	        24.93 ns/op	  40118052 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=1000/reads=100%                	206500299	        17.16 ns/op	  58272616 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=1000/reads=99%                 	148226547	        24.14 ns/op	  41432732 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=1000/reads=90%                 	141136054	        25.15 ns/op	  39769031 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=1000/reads=75%                 	134140783	        26.55 ns/op	  37668462 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=100000/reads=100%              	125309570	        28.73 ns/op	  34801749 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=100000/reads=99%               	100000000	        38.84 ns/op	  25745332 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=100000/reads=90%               	100000000	        40.57 ns/op	  24649472 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=100000/reads=75%               	90544555	        42.64 ns/op	  23452719 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=1000000/reads=100%             	45277528	        75.00 ns/op	  13333899 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=1000000/reads=99%              	45122796	        76.58 ns/op	  13058187 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=1000000/reads=90%              	44798192	        76.43 ns/op	  13083929 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_WarmUp_IntKeys/size=1000000/reads=75%              	42776516	        84.72 ns/op	  11803483 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=100/reads=99%                	156142795	        22.87 ns/op	  43729517 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=100/reads=90%                	150559648	        23.96 ns/op	  41743554 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=100/reads=75%                	144297272	        24.94 ns/op	  40091146 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=1000/reads=99%               	128176788	        27.69 ns/op	  36117048 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=1000/reads=90%               	134642744	        27.03 ns/op	  36995153 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=1000/reads=75%               	126837144	        27.81 ns/op	  35963587 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=100000/reads=99%             	100000000	        35.21 ns/op	  28399537 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=100000/reads=90%             	100000000	        64.79 ns/op	  15433418 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=100000/reads=75%             	99009350	        66.29 ns/op	  15085772 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=1000000/reads=99%            	100000000	        39.60 ns/op	  25252875 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=1000000/reads=90%            	96700653	        60.44 ns/op	  16546227 ops/s	       0 B/op	       0 allocs/op
BenchmarkOrcamanCmap_NoWarmUp_IntKeys/size=1000000/reads=75%            	79527596	        66.05 ns/op	  15140918 ops/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/puzpuzpuz/go-concurrent-map-bench	1578.002s
goos: linux
goarch: amd64
pkg: github.com/puzpuzpuz/go-concurrent-map-bench
cpu: AMD Ryzen 9 7900 12-Core Processor             
goos: linux
goarch: amd64
pkg: github.com/puzpuzpuz/go-concurrent-map-bench
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkSyncMap_Range_StringKeys/size=100         	 3242041	      1041 ns/op	    960789 ops/s	     566 B/op	      18 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=100         	 3514366	      1060 ns/op	    943522 ops/s	     584 B/op	      18 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=100         	 3183120	      1189 ns/op	    840746 ops/s	     622 B/op	      19 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=1000        	  298684	     12053 ns/op	     82964 ops/s	    6180 B/op	     242 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=1000        	  302786	     11798 ns/op	     84763 ops/s	    5854 B/op	     230 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=1000        	  303345	     11580 ns/op	     86355 ops/s	    5857 B/op	     230 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=100000      	     496	   6885617 ns/op	       145.2 ops/s	  882756 B/op	   36760 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=100000      	     582	   7363583 ns/op	       135.8 ops/s	  950928 B/op	   39599 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=100000      	     526	   6988195 ns/op	       143.1 ops/s	  912835 B/op	   38013 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=1000000     	      21	 182915768 ns/op	         5.467 ops/s	 8703085 B/op	  362608 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=1000000     	      21	 184808207 ns/op	         5.411 ops/s	 8935495 B/op	  372291 allocs/op
BenchmarkSyncMap_Range_StringKeys/size=1000000     	      21	 185082340 ns/op	         5.403 ops/s	 8956306 B/op	  373159 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=100            	 3192648	      1121 ns/op	    892225 ops/s	     597 B/op	      13 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=100            	 3547998	      1219 ns/op	    820239 ops/s	     651 B/op	      14 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=100            	 3199902	      1208 ns/op	    828056 ops/s	     642 B/op	      14 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=1000           	  294416	     11519 ns/op	     86814 ops/s	    5984 B/op	     248 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=1000           	  290064	     11608 ns/op	     86146 ops/s	    5986 B/op	     248 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=1000           	  295750	     11696 ns/op	     85502 ops/s	    5942 B/op	     247 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=100000         	     660	   5610916 ns/op	       178.2 ops/s	 1202868 B/op	   56324 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=100000         	     632	   5346775 ns/op	       187.0 ops/s	 1108659 B/op	   51913 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=100000         	     681	   5585648 ns/op	       179.0 ops/s	 1159946 B/op	   54314 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=1000000        	      21	 166987736 ns/op	         5.988 ops/s	 8979977 B/op	  420889 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=1000000        	      20	 169603013 ns/op	         5.896 ops/s	 9314314 B/op	  436562 allocs/op
BenchmarkSyncMap_Range_IntKeys/size=1000000        	      22	 176480733 ns/op	         5.666 ops/s	10036286 B/op	  470402 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=100      	 7993388	       474.2 ns/op	   2108974 ops/s	     200 B/op	       8 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=100      	10900387	       474.0 ns/op	   2109592 ops/s	     198 B/op	       8 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=100      	10716674	       411.1 ns/op	   2432661 ops/s	     169 B/op	       7 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=1000     	  777468	      5147 ns/op	    194276 ops/s	    1928 B/op	      80 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=1000     	  777733	      4490 ns/op	    222727 ops/s	    1660 B/op	      69 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=1000     	  796413	      4725 ns/op	    211629 ops/s	    1740 B/op	      72 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=100000   	    4826	    668729 ns/op	      1495 ops/s	   69289 B/op	    2887 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=100000   	    4838	    675283 ns/op	      1481 ops/s	   73921 B/op	    3080 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=100000   	    6687	    671442 ns/op	      1489 ops/s	   74547 B/op	    3106 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=1000000  	     100	  32697283 ns/op	        30.58 ops/s	  958086 B/op	   39920 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=1000000  	     100	  32719039 ns/op	        30.56 ops/s	  956147 B/op	   39839 allocs/op
BenchmarkXsyncMapOf_Range_StringKeys/size=1000000  	     100	  33357622 ns/op	        29.98 ops/s	  995079 B/op	   41461 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=100         	11169966	       317.7 ns/op	   3148001 ops/s	     133 B/op	       8 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=100         	11467952	       306.2 ns/op	   3265475 ops/s	     131 B/op	       8 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=100         	11169747	       302.0 ns/op	   3311271 ops/s	     129 B/op	       8 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=1000        	  972537	      3163 ns/op	    316185 ops/s	     910 B/op	      56 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=1000        	 1000000	      3235 ns/op	    309096 ops/s	    1213 B/op	      75 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=1000        	 1000000	      3231 ns/op	    309506 ops/s	    1216 B/op	      76 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=100000      	    7629	    553750 ns/op	      1806 ops/s	  110161 B/op	    6885 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=100000      	    7506	    558774 ns/op	      1790 ops/s	  112504 B/op	    7031 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=100000      	    7428	    547243 ns/op	      1827 ops/s	  109007 B/op	    6812 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=1000000     	     121	  30165328 ns/op	        33.15 ops/s	 1341845 B/op	   83865 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=1000000     	     120	  29960247 ns/op	        33.38 ops/s	 1371924 B/op	   85745 allocs/op
BenchmarkXsyncMapOf_Range_IntKeys/size=1000000     	     100	  30107538 ns/op	        33.21 ops/s	 1437162 B/op	   89822 allocs/op
BenchmarkCornelkHashmap_Range_StringKeys/size=100  	 5397150	       712.0 ns/op	   1404537 ops/s	     101 B/op	      11 allocs/op
BenchmarkCornelkHashmap_Range_StringKeys/size=100  	 5224591	       698.4 ns/op	   1431742 ops/s	     100 B/op	      11 allocs/op
BenchmarkCornelkHashmap_Range_StringKeys/size=100  	 5023974	       710.8 ns/op	   1406778 ops/s	     101 B/op	      11 allocs/op
BenchmarkCornelkHashmap_Range_StringKeys/size=1000 	  656792	      6478 ns/op	    154357 ops/s	     743 B/op	      91 allocs/op
BenchmarkCornelkHashmap_Range_StringKeys/size=1000 	  486782	      6239 ns/op	    160282 ops/s	     699 B/op	      86 allocs/op
BenchmarkCornelkHashmap_Range_StringKeys/size=1000 	  658741	      6494 ns/op	    153981 ops/s	     727 B/op	      89 allocs/op
BenchmarkCornelkHashmap_Range_IntKeys/size=100     	 5864372	       597.2 ns/op	   1674581 ops/s	     127 B/op	      14 allocs/op
BenchmarkCornelkHashmap_Range_IntKeys/size=100     	 6081996	       607.9 ns/op	   1644924 ops/s	     128 B/op	      15 allocs/op
BenchmarkCornelkHashmap_Range_IntKeys/size=100     	 5870059	       616.7 ns/op	   1621464 ops/s	     131 B/op	      15 allocs/op
BenchmarkCornelkHashmap_Range_IntKeys/size=1000    	  732738	      5949 ns/op	    168106 ops/s	    1042 B/op	     129 allocs/op
BenchmarkCornelkHashmap_Range_IntKeys/size=1000    	  730472	      5957 ns/op	    167877 ops/s	    1054 B/op	     130 allocs/op
BenchmarkCornelkHashmap_Range_IntKeys/size=1000    	  732757	      5650 ns/op	    177002 ops/s	     986 B/op	     122 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=100          	 7883516	       490.0 ns/op	   2040949 ops/s	      73 B/op	       8 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=100          	 6779396	       555.2 ns/op	   1801295 ops/s	      82 B/op	       9 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=100          	 7242343	       506.7 ns/op	   1973420 ops/s	      76 B/op	       8 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=1000         	  724803	      4977 ns/op	    200910 ops/s	     566 B/op	      69 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=1000         	  800312	      4914 ns/op	    203482 ops/s	     549 B/op	      67 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=1000         	  794402	      4978 ns/op	    200876 ops/s	     570 B/op	      70 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=100000       	    1552	   2153645 ns/op	       464.3 ops/s	   86804 B/op	   10849 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=100000       	    1557	   2159933 ns/op	       463.0 ops/s	   89130 B/op	   11140 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=100000       	    1921	   2206258 ns/op	       453.3 ops/s	   89591 B/op	   11197 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=1000000      	      22	 180820175 ns/op	         5.530 ops/s	 1753940 B/op	  219241 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=1000000      	      21	 182630577 ns/op	         5.476 ops/s	 1764462 B/op	  220556 allocs/op
BenchmarkHaxmap_Range_StringKeys/size=1000000      	      19	 185708537 ns/op	         5.385 ops/s	 1837983 B/op	  229746 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=100             	 8140798	       449.2 ns/op	   2226211 ops/s	      95 B/op	      10 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=100             	 8104077	       454.7 ns/op	   2199170 ops/s	      96 B/op	      11 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=100             	 7951413	       471.3 ns/op	   2121943 ops/s	      99 B/op	      11 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=1000            	  801981	      5051 ns/op	    197964 ops/s	     825 B/op	     102 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=1000            	  804372	      4953 ns/op	    201910 ops/s	     813 B/op	     100 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=1000            	  800719	      4961 ns/op	    201569 ops/s	     820 B/op	     101 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=100000          	    1729	   2129766 ns/op	       469.5 ops/s	  190843 B/op	   23854 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=100000          	    1904	   2127617 ns/op	       470.0 ops/s	  191851 B/op	   23980 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=100000          	    1920	   2120371 ns/op	       471.6 ops/s	  189632 B/op	   23703 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=1000000         	      19	 183605493 ns/op	         5.446 ops/s	 2707538 B/op	  338440 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=1000000         	      19	 181634478 ns/op	         5.506 ops/s	 2696815 B/op	  337100 allocs/op
BenchmarkHaxmap_Range_IntKeys/size=1000000         	      18	 180045047 ns/op	         5.554 ops/s	 2595177 B/op	  324395 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=100     	     156	  23928094 ns/op	        41.79 ops/s	   13160 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=100     	     142	  23781518 ns/op	        42.05 ops/s	   13161 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=100     	     148	  23110176 ns/op	        43.27 ops/s	   13160 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=1000    	     133	  23898993 ns/op	        41.84 ops/s	   58089 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=1000    	     148	  23641387 ns/op	        42.30 ops/s	   58088 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=1000    	     150	  24400266 ns/op	        40.98 ops/s	   58088 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=100000  	     213	  18808329 ns/op	        53.17 ops/s	 5029608 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=100000  	     210	  16411881 ns/op	        60.93 ops/s	 5029608 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=100000  	     202	  18027293 ns/op	        55.47 ops/s	 5029608 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=1000000 	      38	  85585160 ns/op	        11.68 ops/s	48127723 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=1000000 	      40	  87733680 ns/op	        11.40 ops/s	48127723 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_StringKeys/size=1000000 	      40	  87600576 ns/op	        11.42 ops/s	48127723 B/op	     200 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=100        	     126	  30938721 ns/op	        32.32 ops/s	   11193 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=100        	     122	  29489403 ns/op	        33.91 ops/s	   11193 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=100        	     114	  27680367 ns/op	        36.13 ops/s	   11193 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=1000       	     100	  32160874 ns/op	        31.09 ops/s	   41081 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=1000       	     120	  32853278 ns/op	        30.44 ops/s	   41081 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=1000       	     100	  31361494 ns/op	        31.89 ops/s	   41081 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=100000     	     147	  25174500 ns/op	        39.72 ops/s	 3444856 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=100000     	     139	  24065753 ns/op	        41.55 ops/s	 3444857 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=100000     	     146	  22727148 ns/op	        44.00 ops/s	 3444856 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=1000000    	      54	  65341413 ns/op	        15.30 ops/s	32264314 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=1000000    	      51	  63789094 ns/op	        15.68 ops/s	32264314 B/op	     167 allocs/op
BenchmarkOrcamanCmap_Range_IntKeys/size=1000000    	      54	  63318790 ns/op	        15.79 ops/s	32264314 B/op	     167 allocs/op
PASS
ok  	github.com/puzpuzpuz/go-concurrent-map-bench	493.908s
